Name in GIZ-internal database,Project ID,Catchy Title [for dataset],"Catchy Title [for use case, application]",Country / Region ,What this is about/Description,Access to the dataset [link],"Access to AI Model, Software, AI Application [link]",Sector /Sustainable Development Goal ,Use Case Pipeline Status / maturity [INTERNAL],Type of Data,Point of contact & community support ,Data characteristics: how to use it & key characteristics ,"Model characteristics: How to use & key characteristics of the AI Model, Software, AI Application",How to use it: How can you concretely work with this and built on this? How much will this cost and which resources are available to help me? ,"Organizations involved - including logos, links and visual elements",Authors of this information:,Technical Domain,Expressive visualization / picture related to dataset / possible use / story-tellling,License,"Additional Resources (Paper, Publications, etc)",,Info on fair sharing as as Digital Public Good ,Comments
,don't change - for backend processing,"The title should express clearly „what this is useful for, why it makes sense to replicate this” - not the action itself (not: „data collection” or “model training”, rather “Improving livelihoods in Ghana and Uganda: Drone-based Agricultural Dataset for Crop Yield Estimation of cashew, cocoa, and coffee”). 
•        Think about the primary goal or outcome of this AI application and how to put it in plain, attractive language (see key audiences)?
•        How does the title convey key information about the project's impact?
•        How can you succinctly describe what users can do with this AI application?
•        Can you subtly link the title to possible development outcomes (e.g., ""for climate mitigation"")?
","The title should express clearly „what this is this useful for, why it makes sense to replicate this” - not the action itself (not: „data collection” or “model training”, rather “Improving livelihoods in Ghana and Uganda: Drone-based Agricultural Dataset for Crop Yield Estimation of cashew, cocoa, and coffee”). 
•        Think about the primary goal or outcome of this AI application and how to put it in plain, attractive language (see key audiences)?
•        How does the title convey key information about the project's impact?
•        How can you succinctly describe what users can do with this AI application?
•        Can you subtly link the title to possible development outcomes (e.g., ""for climate mitigation"")?
","•        In which country/region/district will the use-case have its major impact?  Where did the activity take place? Which regions would fit the data collected?
•        Mention, if there are already plans for scaling to other areas or if this is likely to succeed.

This field can include different countries/regions. For example, if we collected language data to train a multi-model LLM that potentially spans over a distinct region/country. You might also put “worldwide” if this is globally applicable.
","Try to tell and convey the story in the first sentences. Be direct, concise and avoid the use of overly promotional language. People should immediately understand what this is about, if it is interesting for their application and therefore also what they can do with this. Focus on: 1) What is it?  2) Why was it created? 3) How/for what can it be used?

•        What specific problem does this AI  dataset / application address? What is the challenge that the AI system is intended to solve? 
•        What parts are now are all openly available as an open-source replication kit and digital public good? (How specifically can this foster local AI innovation for sustainable development?)
•        Goal of the AI dataset / AI system: What intended change/impact shall the AI system create? (If possible, add numbers to show the impact e.g. “this might help farmers to get up to 30 percent more revenue” or similar)
•        Who could be future primary beneficiaries or users of this use case? Who is mainly considered as direct beneficiary of the system? You might consider directly addressing people, e.g. “This can be used to empower you as a forest monitoring agency to do xyz”). Consider, how different stakeholders (e.g., businesses, NGOs, government agencies) might want to utilize this AI application/use case?
•        What are the key features or capabilities of this AI system?
•        How does this application contribute to broader development goals or social impact?
•        Optional: How specifically can this foster local AI innovation for sustainable development?
",Where can the dataset be accessed?  -->Provide direct links ,"Where can the AI model or necessary Software or the application be accessed? 
--> Provide links to code repositories, data processing steps,  APIs, or platforms
","• Which sector(s) does this AI application primarily serve?
•  Are there any cross-cutting themes (e.g., climate adaptation, gender equality, Agriculture, etc)?
Ideally, we could employ some sort of repeatedly used taxonomy to make the domain classification more standardized. You may take orientation from the Sustainable Development Goals (SDGs= (https://sdgs.un.org/goals ) for language.
","Please specify status/maturity, which can be additive (name multiple then). 
First status: Dataset (data available, Ind 1.1),
Second status: Pilot (an experiment or pilot has been implemented, Ind 2)
Third status: Use-Case (A concrete application with users has been implemented)
Fourth status: Use-Case with Business Model (ind.3)","-        Which data type(s) does the dataset contain?  Please chose from “Geospacial”, “Audio”, “Text”, “Tabular”,  “Images” or “other”.","Think about who to contact if someone would like to get the answer to the following two questions 
a.        How can I get in touch with someone for more information or support?
b.        “How can I get involved in a community to further build this as a joint resource or get community support?” 

2)        On contact: Be realistic and practical: who can we expect to be available and responsive mid- (long) term for inquiries. / Who are the primary organizations or individuals having implemented this project and willing to be contacted later on?List partners / contact. / Link directly to mail address or similar if possible.
3)        On community support: Please mandatorily also add a reference and link to at least an online support community / mailing-list / github community / social-media group that people can join to get involved
•        Inquire: Are there any community forums, mailing lists, Github or hugging-faces community pages / repositories or recurrent events related to this use case / dataset? If no such support community for a exist, please encourage the partner to open one such community and link to it.
","•        What rights do people have using this data?  Provide direct link to license if applicable,  make clear, that this is for re-use and replication, but also link to the restrictions / what to give back to the community … / Under what license is the data published? 
•        Are there any critical known limitations, imbalances, or biases in the dataset? / hat steps have been taken to ensure responsible and ethical use of AI in this project?
•        Who is responsible for maintaining and updating the dataset? (please also consider making this part of section Point of contact / Community)
•        Link to data-card.
","--> Provide links to license if applicable, make clear, that this is for re-use and replication, but also link to the restrictions / what to give back to the community
-        Ask for crediting the source work always when building a new product such that new development are at least linked to the original ressources (and we can track impact over future uses better).
•        What does the model/application do? Very simple and straightforward explanation?
•        Are there any critical known limitations, imbalances, or biases in the model? / what steps have been taken to ensure responsible and ethical use of AI in this project (e.g. has gone through “ethical AI assessment”, or “should always go through ethical AI assessment before replication)?
•        If it is a model, briefly describe what input the model expect and what output it will generate. Keep it easy to understand and perhaps merge with description of the application already.
•        Only if critical for running it: What software or hardware requirements are needed to run the model?
•        Only if critical to know: Are there any usage restrictions or ethical considerations to be aware of?
","Here we want to outline what the reader can concretely do with this use-case/application more deeply:
The two most important things to lay out here are:
•	What are some specific use cases or applications for this AI system that can already be tackled now with the existing tools and resources – what can be done immediately with it?
•	How can researchers or developers extend or improve upon this work?
•	Are there any critical known limitations, imbalances, or biases that need to be taken into account when replicatin this - to ensure responsible and ethical use of AI in future uses (e.g. recommendation to always go through ethical AI assessment before replication)?
•	[As far as available]  How much will it cost someone to build an application based on this data/use case? Add cost estimates e.g. for adaptation, training compute, compute for running it per user etc – this can be rough estimates

Other considerations for answering:
•	What are the concrete opportunities for collaboration or further development?
•	What resources (e.g., documentation, tutorials) are available for those wanting to use or build upon this work?
•	Are there any success stories or case studies of this AI application in use?
o	This can also be added under Main Field 3.
•	How does this project align with or support other initiatives in the field?
If applicable, you may add a small paragraph on the following:
Sustainability and Future Plans
•	What are the plans for long-term maintenance and sustainability of this project?
•	How will the dataset and models be kept up-to-date and how can you as a reader be part of this?
•	Are there plans for expanding or scaling the project and how can you as a reader be part of this?","•        PLEASE SPECIFY ROLE OF ORGS - START BY: Powered by: Include links in brackest, send logos to Jonas Nothnagel - of the creating entity, implementing partners,  
•        Catalyzed by: Include institutions that facilitated action, this would always be FAIR Forward, but might also include others like Meridian or even consultancies that added other expertise, or DFKI etc. (for FAIR Forward, we will need “Text form” and Link in addition to Logo 
•        Financed by: Add BMZ and possibly other funders 
•        Links to Logos- Consider adding relevant visual elements that enhance understanding of the AI application (e.g., screenshots, diagrams). 
","-        Please add all names of persons who contributed to writing the one-pager (this should be displayed in a way to make sure, that it is not “point of contact”, those should be the persons /e-mails as in “Header Field 4: Point of contact / Community”","- Which technical domain(s) does the dataset contain? - Please chose from “Computer Vision/Picture data”, “Natural language Processing” (NLP), “Earth Observation/Satellite& drone data” or “other”.","-        Please  link to one picture  & expressive visualization / picture related to dataset / possible use / story-telling
- if you can't link to is, please send it to jonas.nothnagel@giz.de
- if possible, the picture should be high-res (for use in a printable pdf or printable report), but web-resolution is fine if no high-res is available.",Please add concrete info on the specific license and possible things you need to add to a licence (also add link in brackets),,,"   Adhere to fair contributing: “This is a global digital public good under open-source licenses as named under ""licenses"" - Please consider fair sharing and giving back to communities in an appropriate way.",
CADI AI Project (ML4Cashew),ui_0,Drone images of disease manifestations in cashew plantations in Ghana,AI-powered detection of diseases for Cashew farmers in Ghana,Ghana,"Imagine, that you are a small-holder farmer in Ghana fearing  crop disease in your Cashew farm. You also know that early intervention could increase yields by up to 30%  - The Cashew Disease Identification (CADI AI) dataset and application is there to make early detection of diseases in cashew plantations in Ghana through AI possible. This helps securing livelihoods, boosting food security, and fueling further economic growth. You will be able to use an openly accessible data set (4,736 UAV images), a machine learning model, and a desktop app to replicate this approach.",https://www.kaggle.com/datasets/responsibleailab/crop-disease-ghana/data,https://huggingface.co/datasets/KaraAgroAI/CADI-AI/tree/main,"Climate Action, Agriculture",Dataset --> Pilot --> Use-Case,Images,KaraAgro (https://karaagro.com/),"This project is currently undergoing ethical AI assessment

License:  https://www.gnu.org/licenses/agpl-3.0.html",,,"Powered by: Kara Agro (https://karaagro.com/)
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)","Mary Seiwah Afram, Elikplim Sabblah",Computer Vision / Drone Data,,"

https://www.gnu.org/licenses/agpl-3.0.html",,,,
Ghana Biomass Challenge: Ghana Crop Disease Detection Challenge,ui_1,"Support food security and climate change adaptation efforts with the Ghana Crop Disease Detection data set (tomatoes, pepper and maize)","AI-powered crop disease identification models (tomatoes, pepper and maize)",Ghana,"The Crop Disease data set contains images of diseases data found in tomatoes, pepper and maize. The data was collected in 10 districts of the Ashanti Region of Ghana by the RAIL-KNUST team and the Plant Protection and Research Services Directorate (PPRSD) of the Ministry of Food and Agriculture. A 3-month long data challenge was hosted on Zindi based on this data set and the 3 winning models are also available as open source resources to serve as your base models in your research into crop diseases in Ghana. ",https://www.kaggle.com/datasets/responsibleailab/crop-disease-ghana,https://www.kaggle.com/datasets/responsibleailab/crop-disease-ghana/code,Agriculture,Dataset,Images,RAIL - KNUST (https://rail.knust.edu.gh/),https://creativecommons.org/licenses/by/4.0/,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",Elikplim Sabblah ,Computer Vision,,https://creativecommons.org/licenses/by/4.0/,,,,
African Biomass Challenge with Open Cocoa Data,ui_2,"Leverage Sentinel-2 Satellite Data to predict biomass in cocoa plantations in Cote d'Ivoire",Leveraging ML to predict above-ground biomass in cocoa plantations in Cote d'Ivoire,Cote d'Ivoire,"This dataset and the models developed from it aim to predict biomass levels in shaded regions of Côte d'Ivoire using a combination of GEDI, Sentinel-2 satellite imagery, and ground truth biomass measurements. The resulting models enable efficient and cost-effective remote monitoring of biomass changes, crucial for assessing reforestation success and detecting forest degradation due to cocoa farming, reducing the need for extensive on-the-ground surveys.",https://huggingface.co/datasets/data354/Africa_Biomass_dataset,,Climate Action,Dataset --> Pilot,Images,Data354 (https://data354.com/en/),,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",Elikplim Sabblah ,Computer Vision,,https://creativecommons.org/licenses/by/4.0/,,,,
Financial Inclusion Speech Dataset for Some Ghanaian Languages,ui_4,"Making access to financial applications possible in native Ghanaian languages in informal settings: Akan (Akuapem Twi, Asante Twi, Fante) and Ga",Build AI-powered solutions to improve financial inclusion within the informal sector of Ghana's economy,Ghana,"This speech dataset for the Ghanian languages Akan (Akuapem Twi, Asante Twi, Fante) and Ga includes 104,000 utterances (speech) across the four dialects/languages with approximately 200 speakers per dialect/language. This amounts to about 148 hours of speech in total. The dataset was developed to support the development of financial applications in native Ghanaian languages to allow illiterate and semi-literate people to fully benefit from digital financial services. Secondly, it aims to answer research questions related to domain-specific vs. general-purpose dataset development, dialects, as well as NLP system development in low resource settings.",https://github.com/Ashesi-Org/Financial-Inclusion-Speech-Dataset,,"Climate Action, Natural Language Processing",Data available,Audio,Dennis Asamoah Owusu (DOWUSU@ASHESI.EDU.GH),,,,"Powered by:  
Catalyzed by: Lacuna-Fund / Meridian & FAIR Forward - AI for All
Financed by: BMZ",Elikplim Sabblah ,NLP,,https://creativecommons.org/licenses/by/4.0/,,,,
Drone-based Agricultural Dataset for Crop Yield Estimation,ui_5,"Drone-based Agricultural Dataset for Crop Yield Estimation in Ghana and Uganda (Cashew, Cocoa and Coffee) ",,"Ghana,Uganda","This dataset supports yield estimation, crop type detection and classification, fruit detection and counting, and fruit maturity stage detection (unripe, ripe, and spoiled) for three products that are important sources of livelihood for millions of households in Sub-Saharan Africa.
 
 It contains 14,870 drone images with bounding box annotations of cashew, cocoa, and coffee trees collected across multiple farms in Ghana and Uganda. Conventional methods of yield estimation are expensive, require a lot of labor and time, and are prone to error due to incomplete ground observations. This results in poor crop yield estimations and hinders farmers’ ability to appropriately plan and manage their fields and production pipelines. This dataset will help transform African agriculture into agribusiness by allowing for the development of yield estimation solutions that enable farmers to make good business decisions. Having key details about agricultural production readily accessible enables a timely harvest, helping farmers ensure healthy, fresh produce and, in addition, better sales.",https://huggingface.co/datasets/KaraAgroAI/Drone-based-Agricultural-Dataset-for-Crop-Yield-Estimation,,"Climate Action, Agriculture",Data available,images,"Darlington Akogo (darlington@gudra-studio.com), KaraAgro (https://www.karaagro.com/index.html)",,,,"Powered by:  Karaagro AI - Ghana, Makerere AI Lab, Uganda Marconi Lab, National Coffee Research Institute, National Crops Resources Research Institute
Catalyzed by: Lacuna-Fund / Meridian & FAIR Forward - AI for All
Financed by: BMZ",Elikplim Sabblah ,Computer Vision / Drone Data,,https://creativecommons.org/licenses/by/4.0/,,,,
,ui_6,Unravel Ghanaian-accented English with the accent classification dataset.,Develop efficient speech recognition technology for Ghanaian-accented English,Ghana,"The Accent Classification Dataset (Ghana) is a collection of audio recordings from native and non-native English speakers across Ghana's diverse regions. Participants read the same three scripts, capturing distinct regional accents and speech patterns. This consistent dataset is valuable for linguistic analysis, accent classification, and speech recognition research focused on Ghanaian English.",https://www.kaggle.com/datasets/responsibleailab/accent-classification-dataset-ghana,,Natural Language Processing,Data Available,Audio,RAIL - KNUST (https://rail.knust.edu.gh/),https://opendatacommons.org/licenses/dbcl/1-0/,,,"""Powered by: RAIL - KNUST (https://rail.knust.edu.gh/)
 Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
 Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)""",Elikplim Sabblah,NLP,,https://opendatacommons.org/licenses/dbcl/1-0/,,,,
,ui_7,Explore the effectiveness of Agrivoltaic farming systems to optimize productivity of farmlands,"Optimize the use of farm-lands, maximize output and monitor the efficiency of Solar PVs with the Agrivoltaics dataset.",Ghana,The Agrivoltaic system offers a transformative solution for farming communities by providing a means to generate electricity without sacrificing agricultural productivity. The dataset showcases the effectivenesss of Solar PVs and also crop yield under solar PVs and in the open-sun on the same farm.,https://www.kaggle.com/datasets/responsibleailab/agrivoltaic-dataset-ghana,,"Agriculture, Climate adaptation, Energy",Data Available,Tabular,RAIL - KNUST (https://rail.knust.edu.gh/),https://creativecommons.org/licenses/by/4.0/,,,"""Powered by: RAIL - KNUST (https://rail.knust.edu.gh/)
 Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
 Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)""",Elikplim Sabblah,Other,,https://creativecommons.org/licenses/by/4.0/,,,,
LACUNA FUND - needs all entries seperately,ui_8,,"[note this is a bundle of applications - to be divided and checked]  Saving forests, wetlands and promoting green energy through AI - 25 initiatives on AI for Climate action in the field of Forestry and Energy (through Lacuna Fund)",Global / Regional,,,,,Dataset,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",,Computer Vision,,,,,,
"Innovate Africa Challenge AI for Climate Action,",ui_9,,"[note this is a bundle of applications - to be divided and checked] Climate Smart Agriculture in Africa: eight AI applications supported through the ""Innovate Africa Challenge"", e.g. real-time weather forecasts, solar-powered AI robots for crop pest detections, AI forcasting natural disasters, AI-powered farming advise, high-yield farming in fish and vegetables",Global / Regional,"Smart Africa, With the following start-ups and organizations: CropScan Africa, Faminga, Farmer Lifeline Technologies, ignitia, KivuGreen Corporation, NjordFrey, Strathmore Research and Consultancy Centre, VaxusImplemented through Smart Africa, see: https://smartafrica.org/innovate-africa-challenge/",,,,,,,,,,"Powered by:  
Catalyzed by: FAIR Forward - AI for All (https://www.bmz-digital.global/en/overview-of-initiatives/fair-forward/)
Financed by: BMZ (https://www.bmz-digital.global/en/digital-transformation-and-development-cooperation/)",,Computer Vision,,,,,,
