Project ID,Catchy Title [for dataset],"Catchy Title [for use case, application]",Country / Region ,What this is about/Description,Access to the dataset [link],"Access to AI Model, Software, AI Application [link]",Sector /Sustainable Development Goal ,Maturity / Readiness for replication or scaling [INTERNAL],Type of Data,Point of contact & community support ,Data characteristics: how to use it & key characteristics  & Responsible AI Assessments,"Model characteristics: How to use & key characteristics of the AI Model, Software, AI Application (if applicable)",How to use it: How can you concretely work with this and built on this? How much will this cost and which resources are available to help me? ,"Organizations involved - including logos, links and visual elements",Editor of this information:,Technical Domain,Expressive visualization / picture related to dataset / possible use / story-tellling,License,"Link to additional Resources (Paper, Publications, etc)",Lacuna Dataset (Yes/No),Info on fair sharing as as Digital Public Good ,Comments,Name in GIZ-internal database,"Registered as ""Digital Public Good"" with the DPGA registry?",Link to entry in DPG registry,On Hold 
"don't change - for backend processing and pls leave it as first column. If you add a row, add a not-used ui number.","The title should express clearly „what this is useful for, why it makes sense to replicate this” - not the action itself (not: „data collection” or “model training”, rather “Improving livelihoods in Ghana and Uganda: Drone-based Agricultural Dataset for Crop Yield Estimation of cashew, cocoa, and coffee”). 
•        Think about the primary goal or outcome of this AI application and how to put it in plain, attractive language (see key audiences)?
•        How does the title convey key information about the project's impact?
•        How can you succinctly describe what users can do with this AI application?
•        Can you subtly link the title to possible development outcomes (e.g., ""for climate mitigation"")?
","The title should express clearly „what this is this useful for, why it makes sense to replicate this” - not the action itself (not: „data collection” or “model training”, rather “Improving livelihoods in Ghana and Uganda: Drone-based Agricultural Dataset for Crop Yield Estimation of cashew, cocoa, and coffee”). 
•        Think about the primary goal or outcome of this AI application and how to put it in plain, attractive language (see key audiences)?
•        How does the title convey key information about the project's impact?
•        How can you succinctly describe what users can do with this AI application?
•        Can you subtly link the title to possible development outcomes (e.g., ""for climate mitigation"")?
","•        In which country/region/district will the use-case have its major impact?  Where did the activity take place? Which regions would fit the data collected?
•        Mention, if there are already plans for scaling to other areas or if this is likely to succeed.

This field can include different countries/regions. For example, if we collected language data to train a multi-model LLM that potentially spans over a distinct region/country. You might also put “worldwide” if this is globally applicable.
","Try to tell and convey the story in the first sentences. Be direct, concise and avoid the use of overly promotional language. People should immediately understand what this is about, if it is interesting for their application and therefore also what they can do with this. Focus on: 1) What is it?  2) Why was it created? 3) How/for what can it be used?
•        What specific problem does this AI  dataset / application address? What is the challenge that the AI system is intended to solve? 
•        What parts are now are all openly available as an open-source replication kit and digital public good? (How specifically can this foster local AI innovation for sustainable development?)
•        Goal of the AI dataset / AI system: What intended change/impact shall the AI system create? (If possible, add numbers to show the impact e.g. “this might help farmers to get up to 30 percent more revenue” or similar)
•        Who could be future primary beneficiaries or users of this use case? Who is mainly considered as direct beneficiary of the system? You might consider directly addressing people, e.g. “This can be used to empower you as a forest monitoring agency to do xyz”). Consider, how different stakeholders (e.g., businesses, NGOs, government agencies) might want to utilize this AI application/use case?
•        What are the key features or capabilities of this AI system?
•        How does this application contribute to broader development goals or social impact?
•        Optional: How specifically can this foster local AI innovation for sustainable development?
","Where can the dataset be accessed?  -->Provide direct links NO HYPERLINKS. Multiple links with "";"" in between.","Where can the AI model or necessary Software or the application be accessed? 
--> Provide links to code repositories, data processing steps,  APIs, or platforms
","• Which SDGs does this AI application primarily serve? e.g., End hunger, achieve food security, sustainable agriculture (SDG 2); climate action (SDG 13), clean energy (SDG 7)  Sustainable agriculture and food security (SDG 2), reduced inequality through access to info in local languages/NLP  (SDG 10), gender equality (SDG 5), etc)?
Ideally, we could employ some sort of repeatedly used taxonomy to make the domain classification more standardized. You may take orientation from the Sustainable Development Goals (SDGs= (https://sdgs.un.org/goals ) for language.
","Please specify status/maturity, which can be additive (name multiple then). 
First status ""Dataset"": a training data set is available as open-source, thereby creating a foundational layer and market for many actors that want to build use cases / applications , Indicator 1.1),
Second status ""Model"": A machine learning model is available that builds on the dataset
Third Status ""Pilot"": an experiment or pilot has been implemented, (Indicator 2)
Fourth status ""Use-Case"": A concrete application with users has been implemented, often in a specific sector such as agriculture etc.
Fifth status ""Use-Case with Business Model"": A business model or financing model is available for a given usecase (e.g. after our training on finding business models for local Open-source AI (indicator 3)

[if dataset etc is not YET available, please insert projected status: ""end of this year we expect this status"" -]","Which data type(s) does the dataset contain?  Please chose from “Geospatial”, “Voice”, “Text”, “Tabular”,  “Images” or “other”.","Think about who to contact if someone would like to get the answer to the following two questions 
a.        How can I get in touch with someone for more information or support?
b.        “How can I get involved in a community to further build this as a joint resource or get community support?” 

2)        On contact: Be realistic and practical: who can we expect to be available and responsive mid- (long) term for inquiries. / Who are the primary organizations or individuals having implemented this project and willing to be contacted later on?List partners / contact. / Link directly to mail address or similar if possible.
3)        On community support: Please mandatorily also add a reference and link to at least an online support community / mailing-list / github community / social-media group that people can join to get involved
•        Inquire: Are there any community forums, mailing lists, Github or hugging-faces community pages / repositories or recurrent events related to this use case / dataset? If no such support community for a exist, please encourage the partner to open one such community and link to it.
","•        Are there any critical known limitations, imbalances, or biases in the dataset? / hat steps have been taken to ensure responsible and ethical use of AI in this project?
•        Who is responsible for maintaining and updating the dataset? (please also consider making this part of section Point of contact / Community)
•        Link to data-card.
•        What rights do people have using this data?  Provide direct link to license if applicable,  make clear, that this is for re-use and replication, but also link to the restrictions / what to give back to the community … / Under what license is the data published? ","-•        What does the model/application do? Very simple and straightforward explanation?
•        Are there any critical known limitations, imbalances, or biases in the model? / what steps have been taken to ensure responsible and ethical use of AI in this project (e.g. has gone through “ethical AI assessment”, or “should always go through ethical AI assessment before replication)?
•        If it is a model, briefly describe what input the model expect and what output it will generate. Keep it easy to understand and perhaps merge with description of the application already.
•        Only if critical for running it: What software or hardware requirements are needed to run the model?
•        Only if critical to know: Are there any usage restrictions or ethical considerations to be aware of?
-> Provide links to license if applicable, make clear, that this is for re-use and replication, but also link to the restrictions / what to give back to the community
-        Ask for crediting the source work always when building a new product such that new development are at least linked to the original ressources (and we can track impact over future uses better).","Here we want to outline what the reader can concretely do with this use-case/application more deeply:
The two most important things to lay out here are:
•        What are some specific use cases or applications for this AI system that can already be tackled now with the existing tools and resources – what can be done immediately with it?
•        How can researchers or developers extend or improve upon this work?
•        Are there any critical known limitations, imbalances, or biases that need to be taken into account when replicatin this - to ensure responsible and ethical use of AI in future uses (e.g. recommendation to always go through ethical AI assessment before replication)?
•        [As far as available]  How much will it cost someone to build an application based on this data/use case? Add cost estimates e.g. for adaptation, training compute, compute for running it per user etc – this can be rough estimates

Other considerations for answering:
•        What are the concrete opportunities for collaboration or further development?
•        What resources (e.g., documentation, tutorials) are available for those wanting to use or build upon this work?
•        Are there any success stories or case studies of this AI application in use?
o        This can also be added under Main Field 3.
•        How does this project align with or support other initiatives in the field?
If applicable, you may add a small paragraph on the following:
Sustainability and Future Plans
•        What are the plans for long-term maintenance and sustainability of this project?
•        How will the dataset and models be kept up-to-date and how can you as a reader be part of this?
•        Are there plans for expanding or scaling the project and how can you as a reader be part of this?","•        PLEASE SPECIFY ROLE OF ORGS - START BY: Powered by: Include links in brackest, send logos to Jonas Nothnagel - of the creating entity, implementing partners,  
•        Catalyzed by: Include institutions that facilitated action, this would always be FAIR Forward, but might also include others like Meridian or even consultancies that added other expertise, or DFKI etc. (for FAIR Forward, we will need “Text form” and Link in addition to Logo 
•        Financed by: Add BMZ and possibly other funders 
•        Links to Logos- Consider adding relevant visual elements that enhance understanding of the AI application (e.g., screenshots, diagrams). 
","-        Please add all names of persons who contributed to editing the info of the one-pager (this should be displayed in a way to make sure, that it is not “point of contact”, those should be the persons /e-mails as in “Header Field 4: Point of contact / Community”","- Which technical domain(s) does the dataset contain? - Please chose from “Computer Vision/Picture data”, “Natural language Processing” (NLP), “Earth Observation/Satellite& drone data” or “other”.","-        Please  link to one picture  & expressive visualization / picture related to dataset / possible use / story-telling
- if you can't link to is, please send it to jonas.nothnagel@giz.de
- if possible, the picture should be high-res (for use in a printable pdf or printable report), but web-resolution is fine if no high-res is available.",Please add concrete info on the specific license and possible things you need to add to a licence (also add link in brackets),,Tagged if from Lacuna,"   Adhere to fair contributing: “This is a global digital public good under open-source licenses as named under ""licenses"" - Please consider fair sharing and giving back to communities in an appropriate way.",,,No,,Will be displayed on frontend as under development and will be show even if no active link is available
ui_0,African Trees for Climate Resilience: A Comprehensive Database,African Trees for Climate Resilience,"Angola, DRC, Kenya, Mozambique, Nigeria, South Africa,Tanzania, Zambia","Extensive bioinformatics resource that leverages tree species’ distribution, medicinal, food provision, and other trait data, together with southern African trees’ climate relationships and growth characteristics for climate adaptation and mitigation planning.  The data can serve to promote the use of indigenous trees for reforestation, regenerative agriculture, ecological restoration, human health and livelihood support, and urban afforestation programs to adapt to and mitigate the impacts of climate change.",https://www.gbif.org/,,SDG 15,Dataset,"Images, Tabular, Geospatial/Remote Sensing",Prof. Guy F. Midgley University of Stellenbosch (gfmidgley@sun.ac.za),"An extensive relational floristic and plant functional database which, together with matching biogeoclimatic data sets and implementation of the distribution model, may describe the biogeoclimatic relationships and projects the growth and ecological success of all sufficiently recorded Southern African trees under current and future climatic conditions",Automation of a species distribution model that leverages a novel mechanistically based algorithm for 1) quantification of currently suitable planting-range conditions and 2) projection of climate risk for future planting-range suitability. This primary screening effort can be cross-referenced for adaptation and mitigation use-value sources to aid in tree species selection.,"The primary application of this work will include identifying indigenous species that can enhance ecological resilience by mapping adaptation and mitigation opportunities and assessing climate risks to African trees. Existing cutting-edge functional niche modeling will allow for the identification of areas for optimal use of African trees based on the results of tree growth performance. This will promote the use of indigenous trees for reforestation, regenerative agriculture, ecological restoration, human health and livelihood support, and urban afforestation programs to adapt to and mitigate the impacts of climate change.","Powered by:  Stellenbosch University
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Luisa Olaya,Computer Vision,"Possible to draw maps of species distribution for present and futrue climates, as one initial output, but also to run hundreds of species filtered by key trait characteristics that indicate suitability for climate mitigation and adaptation",,"Quote: ""We are excited that Lacuna Fund has provided Stellenbosch, and our team, with the opportunity to utilize these datasets to enable researchers to model the impacts of indigenous trees for adaptation and mitigation to climate change in southern Africa. This information is of the utmost importance in ensuring the continent can build resilience against the rapid unfolding of climate change which is affecting livelihoods and demanding that we find solutions.” 

— Professor Guy Midgley, Acting Director at School for Climate Studies, Stellenbosch University",Yes,,First Editing done by Luisa 28.08.2027,,No,,No
ui_1,Mangroves Protection in West Africa through AI-powered monitoring of mangrove health - Benin Mangroves Open Data (BeMOD),,Benin,"Mangroves are valuable coastal ecosystems, providing diverse services to humans and playing a critical role in the global strategy to mitigate impacts of climate change. Regular monitoring of their conditions is essential to provide evidence that supports timely decisions for their management. The “Benin Mangroves Open Data (BeMOD)” project generated annotated images, observations on water quality, observations on soil characteristics, climate observations, forest inventories data (tree diversity, canopy height and cover, tree diameter, total height, biomass, etc.) from plots, and data on socio-cultural contexts (e.g., uses, activities) of mangroves in multiple sites in Benin. ",will come ,,"SDG 6, SDG 13, SDG 14",Dataset,"Images, Tabular","Romain Lucas        Glèlè Kakaï, Laboratory of Biomathematics and Forest Estimations, University of Abomey-Calavi (glele.romain@gmail.com or romain.glelekakai@fsa.uac.bj)",,,"This datasets can be used to build systems for faster, more regular monitoring of mangrove conditions. This is essential to provide evidence that supports timely decisions for mangrove management and mitigate the outcomes of climate change.
","Powered by: University of Abomey-Calavi, Republic of Benin 
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,Computer Vision,,,,Yes,,Original title: Datasets to understand mangroves health in relationship to climate change,,No,,No
ui_2,Powering Rural Futures in West Africa: AI-Driven Demand Data for Smarter Electrification,,"Benin,Ghana,Niger,Togo, Nigeria","The project provides two openly accessible datasets that were developed through a complete, reproducible data pipeline combining machine learning with stochastic energy-system simulation. The first dataset contains predicted appliance ownership and household counts for all 1,209 administrative level 2 regions (adm2) across Nigeria, Ghana, Togo, Benin, and Niger, derived from satellite-based features and socio-economic indicators using models trained on more than 3,500 household surveys. The second dataset consists of high-resolution synthetic electricity demand profiles generated with the RAMP tool, offering minute-by-minute load curves for an entire year for each adm2 region. Together, these datasets provide a unique, representative, and scalable foundation for understanding residential electricity demand in regions where measured data is scarce or entirely unavailable.","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3S7KPQ, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9WT7FJ",,SDG 7,Dataset,Geospatial/Remote Sensing,Reiner Lemoine Institut gGmbH (RLI),"
The two datasets provide complementary, high-resolution information on household electricity demand across 1,209 administrative level 2 regions in West Africa. The ML dataset contains per-region estimates of household numbers, appliance ownership across 17 categories, and cluster identifiers reflecting typical appliance-use behaviour. The demand dataset includes both full-year, minute-resolution load profiles (527,040 time steps per region) and aggregated daily curves, along with summary statistics such as minimum, maximum, mean, and total annual demand. Files are structured as standardized CSVs, organized by country, and kept in manageable sizes. Users can easily import the data into analytical workflows for energy planning, electrification modelling, scenario design, or spatial analysis. Because the pipeline is fully open source, users may also retrain models, adjust appliance usage parameters, or generate new simulations tailored to local contexts. Together, the datasets offer granular, scalable, and customizable inputs for researchers, utilities, developers, and policymakers working on electricity access and energy-system planning.",,"The datasets can be used directly for energy planning, electrification modelling, mini-grid prefeasibility assessments, academic research, or scenario analysis. Users may download the ML dataset to analyse expected appliance adoption patterns or to integrate the predicted household numbers into broader socio-economic models. The synthetic demand profiles can be imported into any energy modelling environment (e.g., Python, R, Excel, PowerFactory, PyPSA, OSeMOSYS) to simulate grid expansion, evaluate supply adequacy, or study temporal consumption behaviour. Because the full codebase is open source, users can also adapt individual steps of the pipeline—such as updating input features, retraining the ML model with local survey data, or running customized RAMP simulations—to generate new or localized demand profiles. Access to both datasets is free under a CC-BY 4.0 license, and additional resources such as documentation, example scripts, and workshop materials are available via GitHub and Harvard Dataverse. This ensures that researchers, planners, and practitioners can build on the existing workflow at no cost and with minimal technical barriers.","Powered by:  Reiner Lemoine Institut gGmbH (RLI)
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Clara Neyrand,,,,,Yes,,,,No,,No
ui_3,Forest carbon sequestration in the Congo Basin: combining In Situ Data and Artificial Intelligence to unlock climate finance ,,"Cameroon,DRC",,will come ,,,,,World Resources Institute,,,,"Powered by:  World Resource Institute
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: ""At a time when the Congo Basin has become the most important rainforest carbon sink, and one of the highest biodiversity hotspots in the world, understanding and tracking its dynamics is more urgent than ever if we want to achieve global 2030 climate and biodiversity goals. With support from Lacuna Fund, our project will help bring machine learning to scientists working on the ground to monitor this ecosystem. It will pilot innovative technologies to close knowledge gaps and help speed action towards better managing these rainforests, ensuring a better world for people, nature, and climate.”  

— Teodyl Nkuintchua, Congo Basin Strategy and Engagement Leader and Country Manager for Republic of Congo, World Resources Institute Africa ",Yes,,,,No,,No
ui_4,Datasets for transportation impact evaluation,Urban roadspace classification data and model,Colombia,"The team developed a labeled training dataset, derived from 50cm or better satellite imagery, based on a novel, pre-defined road space classification taxonomy appropriate for training and deployment of large-scale deep-learning models",https://github.com/yangshao2/UrbanInfraDL,,"SDG 10, SDG 2",Dataset > Model,Geospatial/Remote Sensing,"Fundación Despacio (mafe@despacio.org), World Resources Institute","Dataset and model available in Github. Dataset of  roadspace from 15 areas of Bogota each 1Km. 
Bogotá’s orthophoto and GIS layers. 
Data Dictionary ",The model that was tested for the entire city of Bogotá to clasify urban roadspace with 98% reliability. ,,"Powered by: Fundación Despacio
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Luisa Olaya,Computer Vision,,CC-BY 4.0,Link to White paper,Yes,,"First Editing done by Luisa 28.08.2026 / Availability on Github: it doesn´t have a good exmplanation, which makes it hard to know what is it about.",,No,,No
ui_5,Quantifying Colombian mangroves aboveground biomass and carbon content,Mapping Blue Carbon: Quantifying Mangrove Carbon Stocks for Climate Action and Conservation in the Colombian Caribbean,Colombia,"This open-access dataset supports machine learning (ML) applications for mangrove forest monitoring, addressing the need for more openly available and well-annotated datasets to calibrate and validate ML models. It focuses on improving the estimation of above-ground biomass (AGB) and above-ground carbon (AGC) in Colombian Caribbean mangroves. The pilot area, Via Parque Isla de Salamanca National Natural Park (VIPIS) in the Magdalena department, is a Ramsar and UNESCO Biosphere Reserve. Existing global AGB and AGC models often lack the precision and cost-effectiveness needed for regional monitoring.
The dataset includes both plot-level and tree-level field measurements from 20 newly surveyed plots, providing detailed attributes such as DBH, height, species, AGB (from allometric equations), and AGC. Using these field data, high-resolution satellite imagery, and machine learning models, satellite-based AGB and AGC maps covering ~6,000 ha of mangroves at 10 m spatial resolution have also been generated. ",https://acceso-datos-ambientales-invemar.hub.arcgis.com/maps/a0cab53befd44804923800a194c703d6/about,,SDG 15,Dataset,Geospatial/Remote Sensing,"CTTC María Cuevas (mcuevas@cttc.es),  INVEMAR Cristian Montes (cristian.montes@invemar.org.co)","This geodatabase contains geospatial information collected and processed under the LACUNA project, aimed at quantifying above-ground biomass (AGB) and above-ground carbon (AGC) in Colombian mangroves, specifically in the VIPIS area (Vía Parque Isla de Salamanca). The data are organized into two main datasets: Ground_truth and Satellite AGB/AGC.
Ground_truth Dataset – Field and reference data:
•  MangroveTrees (point layer): Structural details of individual trees, including DBH, height, species, AGB, and AGC, for trees in 20 sampled plots.
•  MangrovePlot (point layer): Centroids of the 20 plots, with aggregated AGB and AGC per plot.
•  TreesCanopy (polygon layer): Tree canopy projections with attributes linked to MangroveTrees.
•  MangrovePlots (polygon layer): Plot boundaries (10 × 10 m) with estimated AGB and AGC values.
Satellite AGB/AGC Dataset – Remote-sensing derived data:
•  Provides 10 m resolution maps of AGB and AGC for 2025, generated using Sentinel-1 and Sentinel-2 data combined with in-situ measurements and a Random Forest machine learning model.
",,"The geodatabase provides detailed plot-level and tree-level field data from Colombian Caribbean mangroves, including measurements such as DBH, height, species, above-ground biomass (AGB), and above-ground carbon (AGC). Users can directly integrate the Ground_truth dataset with other similar field datasets to train and validate machine learning models for accurate estimation of mangrove biomass and carbon stocks.
The satellite dataset supports spatially explicit analysis of forest structure, carbon dynamics, and environmental factors influencing mangrove ecosystems. Combined with additional datasets, it can help improve model robustness, enable cross-site comparisons, and enhance predictive accuracy.
Beyond modeling, the dataset facilitates carbon stock quantification, conservation planning, forest management, and climate policy development. ","Powered by:  CTTC & INVEMAR
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",María Cuevas,Other,,CC-BY 4.0,"Quote: “The dataset compiled during the project will facilitate accurate AGB and AGC estimation in Colombian Caribbean mangroves, enabling better understanding of carbon storage and supporting conservation and management efforts. It will also provide a valuable resource for future research and monitoring activities related to these important coastal ecosystems. Furthermore, the methodology developed in this project might even be applied beyond the Colombian Caribbean to other mangrove ecosystems with similar structures.”  

— María Cuevas-González, Geomatics Research Unit, Centre Tecnològic de Telecomunicacions de Catalunya (CTTC)  ",Yes,,,,No,,No
ui_6,"Detectinging forest degradation by predicting biomass in cocoa plantations in Cote d'Ivoire
","Detectinging forest degradation by predicting biomass in cocoa plantations in Cote d'Ivoire
",Cote d'Ivoire,"The AI model based on this dataset enables efficient and cost-effective remote monitoring of biomass changes. This is crucial for assessing reforestation success and detecting forest degradation due to cocoa farming. Also it reduces the need for extensive and expensive on-the-ground surveys. The dataset and the models developed from it aim to predict biomass levels in shaded regions of Côte d'Ivoire using a combination of GEDI, Sentinel-2 satellite imagery, and ground truth biomass measurements. ",https://huggingface.co/datasets/data354/Africa_Biomass_dataset,,"SDG 13, SDG 15",Dataset > Model > Pilot,Images,Data354 (https://data354.com/en/),,,"The Africa Biomass Dataset enables immediate applications in biomass estimation, land-use monitoring, and carbon-stock analysis using existing remote sensing and machine-learning tools, making it useful for climate modelling, nature-based solutions, and sustainable land-management planning. Researchers can extend this work by integrating higher-resolution satellite imagery, adding ground-truth data, or fine-tuning models for country-specific ecosystems, though care must be taken to account for regional imbalances, sparse labels, and ecological variability, an ethical AI assessment is recommended before replication. The dataset opens opportunities for collaboration across climate scientists, AI researchers, and environmental agencies, and documentation on Hugging Face provides guidance for developers. 

","Powered by: Data354
Catalyzed by: FAIR Forward - AI for All 
Financed by: BMZ ",Elikplim Sabblah ,Computer Vision,,https://creativecommons.org/licenses/by/4.0/,,,,,African Biomass Challenge with Open Cocoa Data,No,,No
ui_7,AI for Mangrove Carbon Credits: Turning Forest Data into Climate Action in Côte d’Ivoire,WatchMyTree,Cote d'Ivoire,"This dataset contains biomass and carbon stock records from mangroves in Côte d’Ivoire (sites of Sassandra and Fresco). It includes measurements of aboveground and belowground biomass and carbon stock, soil carbon stock, as well as bands derived from Sentinel-2 and Sentinel-1 satellite imagery.

",https://figshare.com/articles/dataset/The_First_Open_Dataset_of_Mangrove_Above-_and_Belowground_Biomass_and_Soil_Carbon_Stocks_in_C_te_d_Ivoire_Insights_from_Fresco_and_Sassandra_/30258772,,SDG 15,Dataset,Geospatial/Remote Sensing,Data354 (https://data354.com/en/),,,,"Powered by:  data354
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,Computer Vision,,https://creativecommons.org/licenses/by/4.0/,"Quote: “As far as monitoring and calculating forest carbon stocks are concerned, there is still a major technological bottleneck blocking the large-scale development of forest carbon credits in Côte d’Ivoire, which needs to be overcome quickly. Remote sensing is a useful tool in the forest monitoring process; further studies should be carried out to enable it to meet the need for assessment on a smaller scale and to measure biomass directly. In this way, we can help decision-makers orient their conservation policies, but also support the process of rewarding small players, such as agricultural producers involved in agroforestry, private forestry, etc. Our aim, with the funds raised, is to provide practical field data to better train artificial intelligence algorithms for dynamic mapping of forest biomass and mangroves.”   

 — Abraham Bio, Actum Dev General Manager ",Yes,,,,No,,No
ui_8,Lifting Up Women Through Land Ownership,Using local-language AI advise women in DRC on land ownership - Haki des femmes,Democratic Republic of Congo,"Haki will leverage voice technology to provide access to legal information and support for women in Katanga and Lualaba provinces of the Democratic Republic of Congo to ensure they have the right to access, use, inherit, control, and own land. Majority of women in DRC often lose their access to land after the passing of a loved one or husband due to lack of knowledge of land rights. This solution will help women to access information and legal support in securing their land rights in Kiswahili. This was part of a Mozilla innovation challenge supporting people and projects across East Africa who leverage Common Voice’s open-source voice data set to unlock social and economic opportunities. These grants help to advance the use of open-source voice data for products that support community participation and engagement.",,https://play.google.com/store/apps/details?id=org.core23lab.hdf&pcampaignid=web_share&pli=1,"SDG 5, SDG 2, SDG 10",Dataset  > Model > Pilot > Use-Case,"Text, Voice",Core23Lab,,,,"Powered by: Core23Lab
Catalyzed by: Mozilla & FAIR Forward - AI for All
Financed by: Gates Foundation & BMZ",Balthas Seibold / Daniel Brumund,NLP,,,https://www.mozillafoundation.org/de/blog/lifting-up-women-through-land-ownership/,,,,,No,,No
