Category	Organization	Occurrences	Rows	Issue
Powered by / Provided by	Ahmadu Bello University (Zaria, Nigeria)	1	56	OK
Powered by / Provided by	Alliance of Bioversity International and CIAT	2	63, 81	OK
Powered by / Provided by	Alsisar Impact	1	37	OK
Powered by / Provided by	Artpark	1	36	OK
Powered by / Provided by	Ashesi University	1	17	OK
Powered by / Provided by	Association Maidi	1	55	OK
Powered by / Provided by	Atingi	1	64	OK
Powered by / Provided by	Audiopedia	1	25	OK
Powered by / Provided by	Badili Innovations	1	50	OK
Powered by / Provided by	Balipara Foundation	1	37	OK
Powered by / Provided by	Bappenas	2	38, 39	OK
Powered by / Provided by	Bayero University (Kano, Nigeria)	1	56	OK
Powered by / Provided by	C4IR	2	60, 90	OK
Powered by / Provided by	CERSGIS	1	19	OK
Powered by / Provided by	Civil Society and Budget Advocacy Group (CSBAG)	1	84	OK
Powered by / Provided by	Clear Global	2	64, 86	OK
Powered by / Provided by	Common Room Networks Foundation	1	41	OK
Powered by / Provided by	Core23Lab	1	11	OK
Powered by / Provided by	CTTC	1	8	OK
Powered by / Provided by	Data354	2	9, 10	OK
Powered by / Provided by	Dedan Kimathi University of Technology (Kenya)	1	48	OK
Powered by / Provided by	Digifarm	1	53	OK
Powered by / Provided by	Digital Green	2	31, 53	OK
Powered by / Provided by	Digital Umuganda	3	59, 62, 64	OK
Powered by / Provided by	Duniacom Group LLC	1	79	OK
Powered by / Provided by	DynAg	1	53	OK
Powered by / Provided by	Earth Analytics India Pvt Ltd	1	37	OK
Powered by / Provided by	Earth System Science Center	1	19	OK
Powered by / Provided by	Ecociencia	1	13	OK
Powered by / Provided by	ESPOL University	1	12	OK
Powered by / Provided by	Fundación Despacio	1	7	OK
Powered by / Provided by	GEO Indigenous Alliance	1	14	OK
Powered by / Provided by	German Research Center for Artificial Intelligence (DFKI)	1	89	OK
Powered by / Provided by	GIZ	1	84	OK
Powered by / Provided by	GramVaani	2	29, 33	OK
Powered by / Provided by	HausaNLP	1	56	OK
Powered by / Provided by	Health Development Initiative (HDI) Rwanda	1	65	OK
Powered by / Provided by	Hesotech GmbH	1	58	OK
Powered by / Provided by	Indian Institute of Science (IISc)	2	27, 36	OK
Powered by / Provided by	International Center of Insect Physiology and Ecology (ICIPE)	1	49	OK
Powered by / Provided by	INVEMAR	1	8	OK
Powered by / Provided by	Kabarak University	1	47	OK
Powered by / Provided by	Kaduna state University	1	56	OK
Powered by / Provided by	Kara Agro	2	15, 22	OK
Powered by / Provided by	Karya Inc.	1	30	OK
Powered by / Provided by	KiNLP	2	60, 90	OK
Powered by / Provided by	Laboratoire de Biomathématiques et d'Estimations Forestières	1	4	OK
Powered by / Provided by	Lahore University (LUMS)	1	57	OK
Powered by / Provided by	Local Development Research Institute (LDRI)	1	43	OK
Powered by / Provided by	M-Omulimisa	1	81	OK
Powered by / Provided by	Makerere AI Lab	2	22, 86	OK
Powered by / Provided by	Makerere University in cooperation with the Uganda National Forestry Authority (NFA)	1	85	OK
Powered by / Provided by	Marconi Lab	3	22, 83, 86	OK
Powered by / Provided by	Masakhane NLP	1	56	OK
Powered by / Provided by	Maseno University (Kenya)	1	47	OK
Powered by / Provided by	Mbaza NLP community	1	89	OK
Powered by / Provided by	MINAGRI	1	60	OK
Powered by / Provided by	Moi University	1	51	OK
Powered by / Provided by	Move Beyond Consulting	11	66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76	OK
Powered by / Provided by	Mozilla Common Voice	2	54, 62	OK
Powered by / Provided by	MUSAP	1	14	OK
Powered by / Provided by	Namunyak Conservancy	1	14	OK
Powered by / Provided by	NASA SERVIR	1	19	OK
Powered by / Provided by	National Coffee Research Institute	1	22	OK
Powered by / Provided by	National Crops Resources Research Institute	1	22	OK
Powered by / Provided by	Nokwary Technologies	1	17	OK
Powered by / Provided by	Opportunity International	1	53	OK
Powered by / Provided by	Partners	1	53	OK
Powered by / Provided by	Producers Direct	1	81	OK
Powered by / Provided by	Prosa.ai	2	38, 40	OK
Powered by / Provided by	Radiant Earth	1	78	OK
Powered by / Provided by	RAIL - KNUST	2	18, 20	OK
Powered by / Provided by	RECOFTC	1	42	OK
Powered by / Provided by	Regional AI Hub Rwanda	1	89	OK
Powered by / Provided by	Reiner Lemoine Institut gGmbH (RLI)	1	5	OK
Powered by / Provided by	Responsible AI Lab of KNUST with Ghanaian Plant Protection and Regulatory Services Directorate	1	16	OK
Powered by / Provided by	Rochester Institute for Technology	1	14	OK
Powered by / Provided by	Rwanda Space Agency (RSA)	1	63	OK
Powered by / Provided by	Space4Innovation	1	14	OK
Powered by / Provided by	Stellenbosch University	2	3, 77	OK
Powered by / Provided by	Strathmore University’s iLabAfrica	1	24	OK
Powered by / Provided by	Sunbird.ai	1	82	OK
Powered by / Provided by	Sustain Earth's Environment Africa	1	80	OK
Powered by / Provided by	Tech for Her	1	53	OK
Powered by / Provided by	Tech Innovators Network Kenya (THiNK)	3	44, 45, 46	OK
Powered by / Provided by	Technical University of Kenya	1	51	OK
Powered by / Provided by	Tecnicafé	1	81	OK
Powered by / Provided by	the Rwandan Ministry of Agriculture	1	63	OK
Powered by / Provided by	Ujuzi Craft LTD	1	52	OK
Powered by / Provided by	UNDP India	1	26	OK
Powered by / Provided by	University of Energy and Natural Resources (Ghana)	1	21	OK
Powered by / Provided by	University of Twente	1	21	OK
Powered by / Provided by	USIU-Africa	1	47	OK
Powered by / Provided by	Vertify Earth	3	32, 34, 37	OK
Powered by / Provided by	Viamo	1	53	OK
Powered by / Provided by	Wadhwani AI	1	28	OK
Powered by / Provided by	Western Cape Department of Agriculture	1	78	OK
Powered by / Provided by	World Resources Institute (WRI)	2	6, 19	OK
Powered by / Provided by	WRMS - Weather Risk Management Services	1	32	OK
Powered by / Provided by	ZINDI	1	32	OK

Catalyzed by	Bhashini	1	27	OK
Catalyzed by	Climate Change AI	1	24	OK
Catalyzed by	Digital and Green Innovation	1	58	OK
Catalyzed by	Digital Transformation Centre Ghana	1	16	OK
Catalyzed by	Digital Transformation Centre Kenya	1	46	OK
Catalyzed by	Digital Transformation Centre Rwanda	2	59, 63	OK
Catalyzed by	FAIR Forward - AI for All	87	3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 89, 90, 93	OK
Catalyzed by	GIZ	3	15, 60, 63	OK
Catalyzed by	GIZ ZFD SIGA Refugee Programme	1	65	OK
Catalyzed by	HCSA	1	39	OK
Catalyzed by	intel.liftoff	1	24	OK
Catalyzed by	Intellecap	1	24	OK
Catalyzed by	Lacuna-Fund	24	3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 17, 19, 21, 22, 37, 42, 47, 48, 49, 55, 56, 57, 85, 86	OK
Catalyzed by	Meridian (Climate-call)	24	3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 17, 19, 21, 22, 37, 42, 47, 48, 49, 55, 56, 57, 85, 86	OK
